Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,
"Table A-3.
Poverty Status of People by Age, Race, and Hispanic Origin: 1959 to 2022",,,,,,,,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>)",,,,,,,,,,,,
1977,"24,710","7,726",31.3,"9,296","3,888",41.8,"13,480","3,137",23.3,"1,930",701,36.3
1976,"24,400","7,595",31.1,"9,322","3,787",40.6,"13,220","3,163",23.9,"1,852",644,34.8
1975,"24,090","7,545",31.3,"9,421","3,925",41.7,"12,870","2,968",23.1,"1,795",652,36.3
197419,"23,700","7,182",30.3,"9,439","3,755",39.8,"12,540","2,836",22.6,"1,721",591,34.3
1973,"23,510","7,388",31.4,N,N,N,N,N,N,"1,672",620,37.1
197220,"23,140","7,710",33.3,N,N,N,N,N,N,"1,603",640,39.9
197121,"22,780","7,396",32.5,N,N,N,N,N,N,"1,584",623,39.3
1970,"22,520","7,548",33.5,N,N,N,N,N,N,"1,422",683,48.0
1969,"22,010","7,095",32.2,N,N,N,N,N,N,"1,373",689,50.2
1968,"21,940","7,616",34.7,N,N,N,N,N,N,"1,374",655,47.7
196722,"21,590","8,486",39.3,N,N,N,N,N,N,"1,341",715,53.3
1966,"21,210","8,867",41.8,N,N,N,N,N,N,"1,311",722,55.1
1965,N,N,N,N,N,N,N,N,N,N,711,62.5
ASIAN ALONE OR IN COMBINATION,,,,,,,,,,,,
2022,"24,310","2,002",8.2,"5,678",441,7.8,"15,510","1,164",7.5,"3,127",398,12.7
2021,"23,450","2,112",9.0,"5,612",452,8.1,"14,830","1,257",8.5,"3,011",403,13.4
20201,"22,920","1,827",8.0,"5,565",445,8.0,"14,610","1,071",7.3,"2,747",311,11.3
2019,"22,440","1,588",7.1,"5,234",329,6.3,"14,480","1,007",7.0,"2,724",252,9.3
2018,"22,050","2,166",9.8,"5,158",538,10.4,"14,350","1,334",9.3,"2,539",294,11.6
20172,"21,560","2,063",9.6,"5,170",524,10.1,"13,990","1,259",9.0,"2,392",280,11.7
2017,"21,510","2,104",9.8,"5,133",537,10.5,"13,970","1,303",9.3,"2,408",263,10.9
2016,"20,760","2,062",9.9,"4,922",495,10.1,"13,580","1,301",9.6,"2,253",266,11.8
2015,"20,040","2,234",11.1,"4,728",539,11.4,"13,130","1,443",11.0,"2,176",252,11.6
2014,"19,690","2,268",11.5,"4,792",577,12.0,"12,830","1,390",10.8,"2,059",301,14.6
20133,"19,180","2,398",12.5,"4,900",628,12.8,"12,390","1,457",11.8,"1,889",312,16.5
20134,"19,020","1,974",10.4,"4,740",457,9.6,"12,370","1,258",10.2,"1,910",259,13.6
2012,"18,170","2,072",11.4,"4,557",570,12.5,"11,910","1,291",10.8,"1,703",211,12.4
2011,"17,810","2,189",12.3,"4,572",607,13.3,"11,660","1,397",12.0,"1,581",185,11.7
20105,"17,240","2,064",12.0,"4,308",586,13.6,"11,410","1,265",11.1,"1,515",214,14.1
2009,"15,270","1,901",12.4,"3,996",531,13.3,"9,898","1,154",11.7,"1,378",216,15.7
2008,"14,540","1,686",11.6,"3,717",494,13.3,"9,507","1,031",10.8,"1,319",162,12.3
2007,"14,430","1,467",10.2,"3,606",431,11.9,"9,531",892,9.4,"1,293",144,11.2
2006,"14,330","1,447",10.1,"3,573",408,11.4,"9,553",897,9.4,"1,205",142,11.8
2005,"13,730","1,501",10.9,"3,472",359,10.3,"9,115",999,11.0,"1,144",144,12.6
20046,"13,290","1,295",9.7,"3,406",329,9.7,"8,780",819,9.3,"1,104",147,13.3
2003,"12,890","1,527",11.8,"3,316",420,12.7,"8,510",956,11.2,"1,065",152,14.2
2002,"12,490","1,243",10.0,"3,199",353,11.0,"8,292",804,9.7,995,86,8.7
ASIAN ALONE26,,,,,,,,,,,,
2022,"21,590","1,866",8.6,"4,267",377,8.8,"14,290","1,097",7.7,"3,034",392,12.9
2021,"20,680","1,922",9.3,"4,199",371,8.8,"13,580","1,167",8.6,"2,900",385,13.3
20201,"20,350","1,645",8.1,"4,284",358,8.4,"13,420",985,7.3,"2,646",302,11.4
2019,"19,930","1,464",7.3,"3,916",286,7.3,"13,370",932,7.0,"2,638",246,9.3
2018,"19,770","1,996",10.1,"3,998",453,11.3,"13,290","1,254",9.4,"2,479",289,11.7
20172,"19,530","1,891",9.7,"4,058",420,10.4,"13,120","1,193",9.1,"2,348",277,11.8
2017,"19,480","1,953",10.0,"4,019",455,11.3,"13,100","1,244",9.5,"2,358",255,10.8
2016,"18,880","1,908",10.1,"3,875",430,11.1,"12,800","1,217",9.5,"2,209",261,11.8
2015,"18,240","2,078",11.4,"3,786",466,12.3,"12,330","1,360",11.0,"2,130",252,11.8
2014,"17,790","2,137",12.0,"3,750",524,14.0,"12,010","1,314",10.9,"2,029",299,14.7
20133,"17,260","2,255",13.1,"3,766",555,14.7,"11,650","1,393",12.0,"1,845",307,16.7
20134,"17,060","1,785",10.5,"3,651",367,10.1,"11,530","1,162",10.1,"1,881",256,13.6
2012,"16,420","1,921",11.7,"3,596",497,13.8,"11,150","1,220",10.9,"1,669",205,12.3
2011,"16,090","1,973",12.3,"3,657",494,13.5,"10,870","1,297",11.9,"1,555",182,11.7
20105,"15,610","1,899",12.2,"3,431",494,14.4,"10,700","1,191",11.1,"1,484",214,14.4
2009,"14,010","1,746",12.5,"3,311",463,14.0,"9,344","1,069",11.4,"1,350",213,15.8
2008,"13,310","1,576",11.8,"3,052",446,14.6,"8,961",974,10.9,"1,296",157,12.1
2007,"13,260","1,349",10.2,"2,980",374,12.5,"9,012",832,9.2,"1,265",143,11.3
2006,"13,180","1,353",10.3,"2,956",360,12.2,"9,039",851,9.4,"1,182",142,12.0
2005,"12,580","1,402",11.1,"2,871",317,11.1,"8,591",941,11.0,"1,118",143,12.8
20046,"12,230","1,201",9.8,"2,854",281,9.9,"8,294",774,9.3,"1,083",146,13.5
2003,"11,860","1,401",11.8,"2,759",344,12.5,"8,044",907,11.3,"1,052",151,14.3
2002,"11,540","1,161",10.1,"2,683",315,11.7,"7,881",764,9.7,977,82,8.4
ASIAN AND PACIFIC ISLANDER24,,,,,,,,,,,,
2001,"12,470","1,275",10.2,"3,215",369,11.5,"8,352",814,9.7,899,92,10.2
20007,"12,670","1,258",9.9,"3,294",420,12.7,"8,500",756,8.9,878,82,9.3
19998,"11,960","1,285",10.7,"3,212",381,11.9,"7,879",807,10.2,864,96,11.1
1998,"10,870","1,360",12.5,"3,137",564,18.0,"6,951",698,10.0,785,97,12.4
1997,"10,480","1,468",14.0,"3,096",628,20.3,"6,680",753,11.3,705,87,12.3
1996,"10,050","1,454",14.5,"2,924",571,19.5,"6,484",821,12.7,647,63,9.7
19959,"9,644","1,411",14.6,"2,900",564,19.5,"6,123",757,12.4,622,89,14.3
199410,"6,654",974,14.6,"1,739",318,18.3,"4,401",589,13.4,513,67,13.0
199311,"7,434","1,134",15.3,"2,061",375,18.2,"4,871",680,14.0,503,79,15.6
199212,"7,779",985,12.7,"2,218",363,16.4,"5,067",568,11.2,494,53,10.8
199113,"7,192",996,13.8,"2,056",360,17.5,"4,582",565,12.3,555,70,12.7
1990,"7,014",858,12.2,"2,126",374,17.6,"4,375",422,9.6,514,62,12.1
1989,"6,673",939,14.1,"1,983",392,19.8,"4,225",512,12.1,465,34,7.4
198814,"6,447","1,117",17.3,"1,970",474,24.1,"4,035",583,14.4,442,60,13.5
198714,"6,322","1,021",16.1,"1,937",455,23.5,"4,010",510,12.7,375,56,15.0
AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION,,,,,,,,,,,,
2022,"7,099","1,423",20.0,"2,068",551,26.6,"4,224",770,18.2,808,102,12.6
2021,"7,066","1,550",21.9,"2,148",570,26.6,"4,111",847,20.6,807,133,16.5
20201,"6,758","1,111",16.4,"1,976",411,20.8,"4,079",615,15.1,703,85,12.1
2019,"6,541","1,062",16.2,"1,896",343,18.1,"3,926",611,15.6,719,107,14.9
2018,"6,816","1,335",19.6,"2,023",497,24.6,"4,072",721,17.7,721,117,16.2
20172,"6,914","1,401",20.3,"2,016",549,27.2,"4,193",743,17.7,706,110,15.6
2017,"6,914","1,356",19.6,"2,002",521,26.0,"4,210",730,17.3,702,105,14.9
2016,"6,836","1,387",20.3,"2,067",518,25.1,"4,090",757,18.5,679,113,16.6
2015,"7,111","1,507",21.2,"2,194",620,28.3,"4,281",790,18.5,636,97,15.3
2014,"6,679","1,526",22.8,"2,138",620,29.0,"3,937",823,20.9,604,83,13.7
20133,"5,831","1,372",23.5,"1,793",525,29.3,"3,518",727,20.7,519,121,23.2
20134,"6,368","1,490",23.4,"1,971",599,30.4,"3,841",821,21.4,556,69,12.5
2012,"6,284","1,759",28.0,"1,924",712,37.0,"3,831",961,25.1,529,86,16.3
2011,"6,224","1,515",24.3,"1,967",615,31.3,"3,808",845,22.2,450,55,12.2
20105,"6,073","1,552",25.6,"2,023",690,34.1,"3,617",793,21.9,434,69,15.9
2009,"5,244","1,218",23.2,"1,637",505,30.9,"3,198",659,20.6,409,53,12.9
2008,"5,471","1,211",22.1,"1,747",491,28.1,"3,281",652,19.9,443,67,15.2
2007,"5,292","1,076",20.3,"1,566",357,22.8,"3,286",635,19.3,440,84,19.0
2006,"5,133","1,148",22.4,"1,538",446,29.0,"3,173",632,19.9,422,71,16.8
2005,"5,233","1,093",20.9,"1,603",404,25.2,"3,230",637,19.7,401,53,13.2
20046,"5,269","1,027",19.5,"1,560",371,23.8,"3,319",597,18.0,391,59,15.0
2003,"5,061",940,18.6,"1,625",384,23.6,"3,087",508,16.4,349,48,13.8
2002,"4,844",952,19.6,"1,615",405,25.1,"2,907",482,16.6,321,64,20.0
AMERICAN INDIAN AND ALASKA NATIVE ALONE27,,,,,,,,,,,,
2022,"3,983",995,25.0,"1,041",387,37.1,"2,509",544,21.7,433,65,14.9
2021,"4,109",998,24.3,"1,154",341,29.6,"2,539",574,22.6,415,82,19.7
20201,"3,950",791,20.0,"1,098",278,25.4,"2,466",454,18.4,386,59,15.3
2019,"3,735",677,18.1,"1,036",223,21.5,"2,301",369,16.1,398,85,21.3
2018,"3,663",808,22.1,986,278,28.2,"2,325",465,20.0,351,66,18.7
20172,"3,616",790,21.8,959,278,29.0,"2,323",455,19.6,335,57,17.1
2017,"3,619",750,20.7,948,253,26.7,"2,335",438,18.8,336,58,17.3
2016,"3,701",811,21.9,"1,042",265,25.5,"2,326",475,20.4,333,71,21.2
2015,"4,269",995,23.3,"1,298",399,30.8,"2,649",536,20.3,323,59,18.4
2014,"3,808","1,013",26.6,"1,175",415,35.3,"2,317",540,23.3,315,58,18.3
20133,"3,074",837,27.2,958,295,30.8,"1,868",468,25.0,249,75,30.0
20134,"3,344",914,27.3,964,337,34.9,"2,114",549,25.9,266,29,10.7
2012,"3,459","1,184",34.2,"1,048",473,45.1,"2,135",651,30.5,276,60,21.7
2011,"3,210",917,28.6,943,360,38.2,"2,060",530,25.7,207,27,13.0
20105,"3,076",886,28.8,938,367,39.1,"1,964",492,25.0,174,28,15.9
2009,"2,671",732,27.4,813,286,35.1,"1,689",413,24.4,169,34,20.0
2008,"2,845",770,27.1,887,328,37.0,"1,770",408,23.1,188,34,18.0
2007,"2,742",649,23.7,790,207,26.2,"1,743",393,22.6,209,49,23.3
2006,"2,536",744,29.3,734,285,38.8,"1,637",413,25.2,166,47,28.2
2005,"2,238",603,26.9,675,219,32.5,"1,426",357,25.1,137,26,18.9
20046,"2,319",584,25.2,685,207,30.2,"1,478",350,23.7,156,28,17.8
2003,"2,240",532,23.8,725,218,30.0,"1,385",290,20.9,131,25,19.1
2002,"2,273",547,24.1,764,250,32.8,"1,385",268,19.3,125,29,23.6
AMERICAN INDIAN AND ALASKA NATIVE24,,,,,,,,,,,,
2001,"3,463",757,21.9,"1,161",344,29.6,"2,075",374,18.0,227,40,17.4
20007,"3,001",696,23.2,988,279,28.2,"1,813",367,20.2,199,50,25.1
19998,"3,135",897,28.6,"1,152",448,38.9,"1,774",397,22.4,210,52,24.7
1998,"2,472",571,23.1,867,308,35.5,"1,478",247,16.7,127,16,12.7
1997,"2,340",594,25.4,741,270,36.4,"1,466",303,20.7,133,21,15.7
1996,"2,399",731,30.5,782,330,42.2,"1,466",364,24.9,150,37,24.5
19959,"2,321",718,31.0,853,358,42.0,"1,344",331,24.6,124,29,23.3
199410,"1,482",392,26.4,448,165,36.9,940,209,22.2,95,18,18.6
199311,"1,690",399,23.6,514,172,33.5,"1,064",208,19.6,111,19,17.3
199212,"2,054",600,29.2,648,245,37.8,"1,275",319,25.0,130,36,27.9
199113,"1,793",562,31.3,670,292,43.5,"1,015",245,24.1,108,26,23.7
1990,"1,560",444,28.5,563,211,37.4,892,210,23.5,104,23,22.1
1989,"1,445",345,23.9,507,161,31.8,839,160,19.0,100,24,24.2
198814,"1,454",440,30.2,500,198,39.5,843,210,24.9,110,32,28.7
198714,"1,345",387,28.8,488,178,36.6,747,185,24.8,110,23,21.3
TWO OR MORE RACES24,,,,,,,,,,,,
2022,"9,674","1,180",12.2,"4,501",611,13.6,"4,564",496,10.9,609,73,12.0
2021,"9,166","1,298",14.2,"4,349",673,15.5,"4,230",541,12.8,587,83,14.2
20201,"9,220","1,209",13.1,"4,293",690,16.1,"4,424",471,10.6,503,48,9.6
2019,"8,920","1,135",12.7,"4,084",595,14.6,"4,330",501,11.6,506,38,7.6
2018,"8,793","1,381",15.7,"4,126",763,18.5,"4,159",552,13.3,508,65,12.8
20172,"8,423","1,441",17.1,"3,981",835,21.0,"3,975",546,13.7,467,60,12.9
2017,"8,475","1,408",16.6,"4,011",808,20.2,"3,995",541,13.5,469,59,12.7
2016,"8,094","1,312",16.2,"3,879",736,19.0,"3,764",521,13.8,451,55,12.3
2015,"7,622","1,323",17.4,"3,658",736,20.1,"3,556",543,15.3,408,44,10.8
2014,"7,473","1,352",18.1,"3,580",748,20.9,"3,521",573,16.3,372,32,8.6
20133,"7,739","1,562",20.2,"3,775",900,23.9,"3,564",584,16.4,400,78,19.5
20134,"7,731","1,450",18.8,"3,789",832,22.0,"3,550",569,16.0,392,49,12.4
2012,"7,349","1,462",19.9,"3,598",843,23.4,"3,404",571,16.8,347,48,13.8
2011,"7,166","1,443",20.1,"3,482",806,23.1,"3,361",601,17.9,323,36,11.1
20105,"7,172","1,507",21.0,"3,534",888,25.1,"3,285",560,17.0,353,59,16.8
2009,"5,715","1,168",20.4,"2,700",683,25.3,"2,699",456,16.9,316,29,9.1
2008,"5,502",941,17.1,"2,570",488,19.0,"2,625",409,15.6,307,44,14.3
2007,"5,172",845,16.3,"2,321",423,18.2,"2,567",383,14.9,284,40,13.9
2006,"5,103",811,15.9,"2,333",465,19.9,"2,475",316,12.8,295,30,10.2
2005,"5,472",839,15.3,"2,395",421,17.6,"2,773",390,14.1,305,29,9.4
20046,"5,298",847,16.0,"2,272",436,19.2,"2,752",374,13.6,274,37,13.4
2003,"5,053",771,15.2,"2,192",414,18.9,"2,609",330,12.7,252,26,10.4
2002,"4,670",686,14.7,"2,085",339,16.3,"2,346",308,13.1,238,39,16.4
HISPANIC (ANY RACE)28,,,,,,,,,,,,
2022,"63,800","10,780",16.9,"18,680","4,057",21.7,"39,680","5,804",14.6,"5,426",915,16.9
2021,"62,480","10,690",17.1,"18,650","4,168",22.4,"38,620","5,547",14.4,"5,213",975,18.7
20201,"61,770","10,520",17.0,"18,770","4,338",23.1,"38,090","5,369",14.1,"4,906",813,16.6
2019,"60,600","9,545",15.7,"18,610","3,888",20.9,"37,210","4,836",13.0,"4,787",821,17.1
2018,"59,960","10,530",17.6,"18,740","4,436",23.7,"36,670","5,205",14.2,"4,544",884,19.5
20172,"59,050","10,820",18.3,"18,600","4,643",25.0,"36,140","5,446",15.1,"4,320",726,16.8
2017,"59,050","10,790",18.3,"18,580","4,639",25.0,"36,160","5,415",15.0,"4,322",736,17.0
2016,"57,560","11,140",19.4,"18,390","4,890",26.6,"35,110","5,542",15.8,"4,057",706,17.4
2015,"56,780","12,130",21.4,"18,230","5,269",28.9,"34,690","6,188",17.8,"3,863",676,17.5
2014,"55,500","13,100",23.6,"18,000","5,745",31.9,"33,870","6,701",19.8,"3,636",658,18.1
20133,"54,180","13,360",24.7,"17,900","5,907",33.0,"32,840","6,746",20.5,"3,443",704,20.4
20134,"54,150","12,740",23.5,"17,840","5,415",30.4,"32,900","6,654",20.2,"3,405",676,19.8
2012,"53,110","13,620",25.6,"17,660","5,976",33.8,"32,230","6,977",21.6,"3,213",663,20.6
2011,"52,280","13,240",25.3,"17,600","6,008",34.1,"31,640","6,667",21.1,"3,036",569,18.7
20105,"50,970","13,520",26.5,"17,370","6,059",34.9,"30,740","6,948",22.6,"2,860",516,18.0
2009,"48,810","12,350",25.3,"16,970","5,610",33.1,"29,030","6,224",21.4,"2,815",516,18.3
2008,"47,400","10,990",23.2,"16,370","5,010",30.6,"28,310","5,452",19.3,"2,717",525,19.3
2007,"45,930","9,890",21.5,"15,650","4,482",28.6,"27,730","4,970",17.9,"2,555",438,17.1
2006,"44,780","9,243",20.6,"15,150","4,072",26.9,"27,210","4,698",17.3,"2,428",472,19.4
2005,"43,020","9,368",21.8,"14,650","4,143",28.3,"26,050","4,765",18.3,"2,315",460,19.9
20046,"41,690","9,122",21.9,"14,170","4,098",28.9,"25,320","4,620",18.2,"2,194",403,18.4
2003,"40,300","9,051",22.5,"13,730","4,077",29.7,"24,490","4,568",18.7,"2,080",406,19.5
2002,"39,220","8,555",21.8,"13,210","3,782",28.6,"23,950","4,334",18.1,"2,053",439,21.4
2001,"37,310","7,997",21.4,"12,760","3,570",28.0,"22,650","4,014",17.7,"1,896",413,21.8
20007,"35,960","7,747",21.5,"12,400","3,522",28.4,"21,730","3,844",17.7,"1,822",381,20.9
19998,"34,630","7,876",22.7,"12,190","3,693",30.3,"20,780","3,843",18.5,"1,661",340,20.5
1998,"31,520","8,070",25.6,"11,150","3,837",34.4,"18,670","3,877",20.8,"1,696",356,21.0
1997,"30,640","8,308",27.1,"10,800","3,972",36.8,"18,220","3,951",21.7,"1,617",384,23.8
1996,"29,610","8,697",29.4,"10,510","4,237",40.3,"17,590","4,089",23.3,"1,516",370,24.4
19959,"28,340","8,574",30.3,"10,210","4,080",40.0,"16,670","4,153",24.9,"1,458",342,23.5
199410,"27,440","8,416",30.7,"9,822","4,075",41.5,"16,190","4,018",24.8,"1,428",323,22.6
199311,"26,560","8,126",30.6,"9,462","3,873",40.9,"15,710","3,956",25.2,"1,390",297,21.4
199212,"25,650","7,592",29.6,"9,081","3,637",40.0,"15,270","3,668",24.0,"1,298",287,22.1
199113,"22,070","6,339",28.7,"7,648","3,094",40.4,"13,280","3,008",22.7,"1,143",237,20.8
1990,"21,410","6,006",28.1,"7,457","2,865",38.4,"12,860","2,896",22.5,"1,091",245,22.5
1989,"20,750","5,430",26.2,"7,186","2,603",36.2,"12,540","2,616",20.9,"1,024",211,20.6
198814,"20,060","5,357",26.7,"7,003","2,631",37.6,"12,060","2,501",20.7,"1,005",225,22.4
198714,"19,400","5,422",28.0,"6,792","2,670",39.3,"11,720","2,509",21.4,885,243,27.5
1986,"18,760","5,117",27.3,"6,646","2,507",37.7,"11,210","2,406",21.5,906,204,22.5
198515,"18,080","5,236",29.0,"6,475","2,606",40.3,"10,690","2,411",22.6,915,219,23.9
198416,"16,920","4,806",28.4,"6,068","2,376",39.2,"10,030","2,254",22.5,819,176,21.5
1983,"16,540","4,633",28.0,"6,066","2,312",38.1,"9,697","2,148",22.5,782,173,22.1
1982,"14,390","4,301",29.9,"5,527","2,181",39.5,"8,262","1,963",23.8,596,159,26.6
198117,"14,020","3,713",26.5,"5,369","1,925",35.9,"8,084","1,642",20.3,568,146,25.7
1980,"13,600","3,491",25.7,"5,276","1,749",33.2,"7,740","1,563",20.2,582,179,30.8
197918,"13,370","2,921",21.8,"5,483","1,535",28.0,"7,314","1,232",16.8,574,154,26.8
1978,"12,080","2,607",21.6,"5,012","1,384",27.6,"6,527","1,098",16.8,539,125,23.2
1977,"12,050","2,700",22.4,"5,028","1,422",28.3,"6,500","1,164",17.9,518,113,21.9
1976,"11,270","2,783",24.7,"4,771","1,443",30.2,"6,034","1,212",20.1,464,128,27.7
1975,"11,120","2,991",26.9,N,N,N,N,N,N,N,137,32.6
197419,"11,200","2,575",23.0,N,N,N,N,N,N,N,117,28.9
1973,"10,800","2,366",21.9,N,N,N,N,N,N,N,95,24.9
N Not available.,,,,,,,,,,,,
1 Implementation of 2020 Census-based population controls.,,,,,,,,,,,,
2 Estimates reflect the implementation of an updated processing system and should be used to make comparisons to 2018 and subsequent years.,,,,,,,,,,,,
"3 The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. All of the approximately 98,000 addresses were eligible to receive the redesigned set of health insurance coverage questions. The redesigned income questions were implemented to a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC and the remaining 30,000 addresses were eligible to receive the redesigned income questions. The source of these 2013 estimates is the portion of the CPS ASEC sample that received the redesigned income questions, approximately 30,000 addresses.",,,,,,,,,,,,
"4 The source of these 2013 estimates is the portion of the CPS ASEC sample that received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.",,,,,,,,,,,,
5 Implementation of 2010 Census-based population controls.,,,,,,,,,,,,
6 Data have been revised to reflect a correction to the weights in the 2005 CPS ASEC.,,,,,,,,,,,,
"7 Implementation of a 28,000-household sample expansion.",,,,,,,,,,,,
8 Implementation of 2000 Census-based population controls.,,,,,,,,,,,,
"9 Full implementation of 1990 Census-based sample design and metropolitan definitions, 7,000-household sample reduction, and revised editing of responses on race.",,,,,,,,,,,,
10 Introduction of 1990 Census-based sample design.,,,,,,,,,,,,
"11 Data collection method changed from paper and pencil to computer-assisted interviewing. In addition, the 1994 CPS ASEC was revised to allow for the coding of different income amounts on selected questionnaire items. Limits either increased or decreased in the following categories: earnings limits increased to $999,999; Social Security limits increased to $49,999; Supplemental Security Income and public assistance limits increased to $24,999; veterans' benefits limits increased to $99,999; child support and alimony limits decreased to $49,999.",,,,,,,,,,,,
12 Implementation of 1990 Census-based population controls.,,,,,,,,,,,,
"13 Estimates are revised to correct for nine omitted weights from the original 1992 CPS ASEC. More information is available in ""Money Income of Households, Families, and Persons in the United States: 1992,"" P60-184.",,,,,,,,,,,,
"14 Estimates reflect the implementation of a new CPS ASEC processing system and are also revised to reflect corrections to the files after publication of the 1988 advance report ""Money Income and Poverty Status in the United States: 1988,"" P60-166.",,,,,,,,,,,,
15 Full implementation of 1980 Census-based sample design.,,,,,,,,,,,,
16 Implementation of Hispanic population weighting controls and introduction of 1980 Census-based sample design.,,,,,,,,,,,,
"17 Implemented three technical changes to the poverty definition. More information is available in ""Characteristics of the Population Below the Poverty Level: 1980,"" P60-133.",,,,,,,,,,,,
18 Implementation of 1980 Census-based population controls. Questionnaire expanded to show 27 possible values from 51 possible sources of income.,,,,,,,,,,,,
19 Implementation of a new CPS ASEC processing system. Questionnaire expanded to ask 11 income questions.,,,,,,,,,,,,
20 Full implementation of 1970 Census-based sample design.,,,,,,,,,,,,
21 Introduction of 1970 Census-based sample design and population controls.,,,,,,,,,,,,
22 Implementation of a new CPS ASEC processing system.,,,,,,,,,,,,
"23 Beginning with the 2003 CPS ASEC, respondents were allowed to choose one or more races. White alone refers to people who reported White and did not report any other race category. The use of this single-race population does not imply that it is the preferred method of presenting or analyzing the data. The Census Bureau uses a variety of approaches.",,,,,,,,,,,,
"24 For the year 2001 and earlier, the CPS ASEC allowed respondents to report only one race group.",,,,,,,,,,,,
25 Black alone refers to people who reported Black and did not report any other race category.,,,,,,,,,,,,
26 Asian alone refers to people who reported Asian and did not report any other race category.,,,,,,,,,,,,
27 American Indian and Alaska Native alone refers to people who reported American Indian and Alaska Native and did not report any other race category.,,,,,,,,,,,,
"28 Since Hispanic individuals may be any race, data in this report for the Hispanic population overlap with data for race groups. Of those who reported only one race, Hispanic origin was reported by 16.7 percent of White householders, 5.9 percent of Black householders, 2.7 percent of Asian householders, and 33.4 percent of American Indian and Alaska Native householders. Data users should exercise caution when interpreting aggregate results for the Hispanic population or for race groups because these populations  onsist of many distinct groups that differ in socioeconomic characteristics, culture, and nativity. Data were first collected for Hispanic individuals in 1972 and for Asian and Pacific Islander and American Indian and Alaska Native individuals in 1987. More information is  vailable at <www.census.gov/programs-surveys/cps.html>.",,,,,,,,,,,,
Note: Details may not sum to totals due to rounding. Estimates may differ from previous publications due to additional rounding implemented to protect respondent privacy.,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1960 to 2023 Annual Social and Economic Supplements (CPS ASEC).",,,,,,,,,,,,
